Date,Strategy_Value,Benchmark_Value
2019-01-07 00:00:00-05:00,100000.0,100000.0
2019-01-14 00:00:00-05:00,104098.40544400956,104474.89695059358
2019-01-21 00:00:00-05:00,105478.39327431355,106130.38335899531
2019-01-28 00:00:00-05:00,104599.40003568982,104759.53151741413
2019-02-04 00:00:00-05:00,105490.29055590695,105555.98698991264
2019-02-11 00:00:00-05:00,111349.71134010762,110091.6961877388
2019-02-18 00:00:00-05:00,109992.16334875912,108360.78524501718
2019-02-25 00:00:00-05:00,113337.86796226873,112050.06268015406
2019-03-04 00:00:00-05:00,112741.95398020418,111026.25647408064
2019-03-11 00:00:00-04:00,112674.074688381,111231.25728112896
2019-03-18 00:00:00-04:00,111855.91592141757,108922.03560474188
2019-03-25 00:00:00-04:00,116484.44980645069,112928.50446162722
2019-04-01 00:00:00-04:00,114200.39848919032,112058.0264948467
2019-04-08 00:00:00-04:00,113838.21166824432,111720.38236934307
2019-04-15 00:00:00-04:00,116398.92933513182,113562.52281091466
2019-04-22 00:00:00-04:00,113916.8732912756,112538.58331078848
2019-04-29 00:00:00-04:00,116607.22535119813,115051.90104287246
2019-05-06 00:00:00-04:00,112909.14804134448,110218.93333296987
2019-05-13 00:00:00-04:00,108577.39011419739,106016.99483041844
2019-05-20 00:00:00-04:00,109072.47579257366,107160.96207066615
2019-05-27 00:00:00-04:00,110392.21133052751,108505.59244907578
2019-06-03 00:00:00-04:00,107418.7253458192,104034.87842866917
2019-06-10 00:00:00-04:00,108180.80187484415,103217.53067585973
2019-06-17 00:00:00-04:00,111055.78695906546,105301.2709627832
2019-06-24 00:00:00-04:00,111265.92020008432,106464.02215714043
2019-07-01 00:00:00-04:00,113111.80225289942,107668.52973870143
2019-07-08 00:00:00-04:00,111575.85990627942,106306.64674207692
2019-07-15 00:00:00-04:00,112566.21104518285,107406.28295488901
2019-07-22 00:00:00-04:00,112191.9852811988,107009.24731413567
2019-07-29 00:00:00-04:00,110913.12106998361,106494.48266036312
2019-08-05 00:00:00-04:00,108443.02763576651,104613.1036606846
2019-08-12 00:00:00-04:00,101511.67903083446,96966.35970696538
